Date,AAPL,GOOGL,AMZN
11/20/2014,106.86763,543.76001,330.540009
11/21/2014,107.014664,545.890015,332.630005
11/24/2014,108.999298,547.47998,335.640015
11/25/2014,108.05291,549.22998,335.040009
11/26/2014,109.339249,547.72998,333.570007
11/28/2014,109.274948,549.080017,338.640015
12/1/2014,105.728317,539.650024,326
12/2/2014,105.32402,538.590027,326.309998
12/3/2014,106.518494,536.969971,316.5
12/4/2014,106.114204,542.580017,316.929993
12/5/2014,105.663986,528.080017,312.630005
12/8/2014,103.275063,530.72998,306.640015
12/9/2014,104.855431,536.109985,312.5
12/10/2014,102.86161,528.039978,305.839996
12/11/2014,102.558395,532.109985,307.359985
12/12/2014,100.821831,521.51001,307.320007
12/15/2014,99.443619,515.840027,306.070007
12/16/2014,98.08374,498.160004,295.059998
12/17/2014,100.527809,506.450012,298.880005
12/18/2014,103.504761,514.619995,297.730011
12/19/2014,102.705391,520.039978,299.899994
12/22/2014,103.771225,532.299988,306.540009
12/23/2014,103.403709,538.77002,306.290009
12/24/2014,102.916725,536.929993,303.029999
12/26/2014,104.735992,541.52002,309.089996
12/29/2014,104.662506,537.309998,312.040009
12/30/2014,103.385315,535.280029,310.299988
12/31/2014,101.41906,530.659973,310.350006
1/2/2015,100.4543,529.549988,308.519989
1/5/2015,97.624336,519.460022,302.190002
1/6/2015,97.633545,506.640015,295.290009
1/7/2015,99.002556,505.149994,298.420013
1/8/2015,102.80648,506.910004,300.459991
1/9/2015,102.916725,500.720001,296.929993
1/12/2015,100.380791,497.059998,291.410004
1/13/2015,101.272049,501.799988,294.73999
1/14/2015,100.886154,505.929993,293.269989
1/15/2015,98.148056,504.01001,286.950012
1/16/2015,97.385445,510.459991,290.73999
1/20/2015,99.893822,509.940002,289.440002
1/21/2015,100.656441,520.390015,297.25
1/22/2015,103.275063,537.299988,310.320007
1/23/2015,103.807991,541.950012,312.390015
1/26/2015,103.918228,536.719971,309.660004
1/27/2015,100.279716,521.190002,306.75
1/28/2015,105.948822,512.429993,303.910004
1/29/2015,109.247391,513.22998,311.779999
1/30/2015,107.648643,537.549988,354.529999
2/2/2015,108.999298,532.200012,364.470001
2/3/2015,109.017654,533.299988,363.549988
2/4/2015,109.853806,526.099976,364.75
2/5/2015,110.637886,529.830017,373.890015
2/6/2015,109.7062,533.880005,374.279999
2/9/2015,110.434944,529.280029,370.559998
2/10/2015,112.556557,540.159973,373
2/11/2015,115.194748,538,375.140015
2/12/2015,116.652199,546.01001,377.170013
2/13/2015,117.224121,551.159973,381.829987
2/17/2015,117.915962,545.01001,375.429993
2/18/2015,118.736946,542.650024,373.369995
2/19/2015,118.487869,546.450012,379
2/20/2015,119.456444,541.799988,383.660004
2/23/2015,122.684975,535,380.140015
2/24/2015,121.919357,538.650024,378.589996
2/25/2015,118.801491,547.330017,385.369995
2/26/2015,120.305084,559.289978,384.799988
2/27/2015,118.497116,562.630005,380.160004
3/2/2015,119.078239,575.02002,385.660004
3/3/2015,119.327293,578.789978,384.609985
3/4/2015,118.570885,578.330017,382.720001
3/5/2015,116.606094,581.429993,387.829987
3/6/2015,116.781349,572.900024,380.089996
3/9/2015,117.279457,574.099976,378.559998
3/10/2015,114.853432,559.849976,369.51001
3/11/2015,112.759514,555.690002,366.369995
3/12/2015,114.798103,561.169983,374.23999
3/13/2015,114.004791,553,370.579987
3/16/2015,115.259315,561.640015,373.350006
3/17/2015,117.187233,557.609985,371.920013
3/18/2015,118.50631,566.159973,375.140015
3/19/2015,117.611565,563.669983,373.23999
3/20/2015,116.135651,564.950012,378.48999
3/23/2015,117.344032,565.369995,375.109985
3/24/2015,116.864365,577.539978,374.089996
3/25/2015,113.811096,567,370.959991
3/26/2015,114.604393,563.640015,367.350006
3/27/2015,113.69117,557.549988,370.559998
3/30/2015,116.569206,561.140015,374.589996
3/31/2015,114.779648,554.700012,372.100006
4/1/2015,114.613602,549.48999,370.26001
4/2/2015,115.600616,541.309998,372.25
4/6/2015,117.47319,543.950012,377.040009
4/7/2015,116.237122,544.859985,374.410004
4/8/2015,115.85891,548.840027,381.200012
4/9/2015,116.744446,548.02002,383.540009
4/10/2015,117.242592,548.539978,382.649994
4/13/2015,117.011948,548.640015,382.359985
4/14/2015,116.504623,539.780029,385.109985
4/15/2015,116.94738,541.039978,383.450012
4/16/2015,116.384705,543.52002,386.040009
4/17/2015,115.074821,532.73999,375.559998
4/20/2015,117.703796,544.530029,389.51001
4/21/2015,117.067322,542.919983,391.179993
4/22/2015,118.644707,549.179993,389.799988
4/23/2015,119.613266,557.460022,389.98999
4/24/2015,120.175949,573.659973,445.100006
4/27/2015,122.362091,566.119995,438.559998
4/28/2015,120.434235,564.369995,429.309998
4/29/2015,118.663147,561.390015,429.369995
4/30/2015,115.44381,548.77002,421.779999
5/1/2015,118.949089,551.159973,422.869995
5/4/2015,118.718491,552.840027,423.040009
5/5/2015,116.043396,543.039978,421.190002
5/6/2015,115.314674,535.080017,419.100006
5/7/2015,116.027908,542.039978,426.880005
5/8/2015,118.213974,548.950012,433.690002
